Chromosome	Aberration Kind	Region Start [bp]	Region End [bp]	Region Size [bp]	q-value
1	0	27089566	27089566	1	0
1	0	27106855	27127935	21081	0
1	0	26648381	26666809	18429	0.0259833913043478
1	0	27093657	27101201	7545	0.0259833913043478
1	0	27132251	27132251	1	0.0259833913043478
10	0	89346476	92430547	3084072	0
10	0	92485320	92485732	413	0
10	0	92775880	92777353	1474	0
10	0	93080209	114638457	21558249	0
10	0	114738890	114774241	35352	0
10	0	114895762	116078033	1182272	0
10	0	116441520	116787305	345786	0
10	0	116922148	117243369	321222	0
10	0	118087220	118087298	79	0
10	0	125274134	125275363	1230	0
10	0	125281850	126398178	1116329	0
10	0	126689020	126689398	379	0
10	0	126711589	126711633	45	0
10	0	126768043	126800520	32478	0
10	0	129593637	129593684	48	0
10	0	131963318	131966353	3036	0
10	0	89324663	89344167	19505	5.38596765498652e-05
10	0	92431438	92484991	53554	5.38596765498652e-05
10	0	92490374	92774918	284545	5.38596765498652e-05
10	0	92778715	93077075	298361	5.38596765498652e-05
10	0	114642902	114735986	93085	5.38596765498652e-05
10	0	114777939	114893489	115551	5.38596765498652e-05
10	0	116079327	116168638	89312	5.38596765498652e-05
10	0	116346514	116438345	91832	5.38596765498652e-05
10	0	116791828	116917867	126040	5.38596765498652e-05
10	0	117244091	117380528	136438	5.38596765498652e-05
10	0	117552735	117913266	360532	5.38596765498652e-05
10	0	118072627	118085601	12975	5.38596765498652e-05
10	0	118087544	118103373	15830	5.38596765498652e-05
10	0	118273777	118355695	81919	5.38596765498652e-05
10	0	118727291	118763371	36081	5.38596765498652e-05
10	0	125149886	125267698	117813	5.38596765498652e-05
10	0	125277565	125279072	1508	5.38596765498652e-05
10	0	126398927	126539062	140136	5.38596765498652e-05
10	0	126675370	126688370	13001	5.38596765498652e-05
10	0	126693193	126711516	18324	5.38596765498652e-05
10	0	126713885	126762118	48234	5.38596765498652e-05
10	0	126802394	126837986	35593	5.38596765498652e-05
10	0	126856255	126857576	1322	5.38596765498652e-05
10	0	126928396	126952042	23647	5.38596765498652e-05
10	0	129014678	129015808	1131	5.38596765498652e-05
10	0	129052435	129066865	14431	5.38596765498652e-05
10	0	129585957	129588879	2923	5.38596765498652e-05
10	0	129892264	129893130	867	5.38596765498652e-05
10	0	131119820	131120802	983	5.38596765498652e-05
10	0	131499315	131500940	1626	5.38596765498652e-05
10	0	131562744	131614735	51992	5.38596765498652e-05
10	0	131726684	131726907	224	5.38596765498652e-05
10	0	131830209	131963067	132859	5.38596765498652e-05
10	0	131967352	132014052	46701	5.38596765498652e-05
10	0	132078354	132081910	3557	5.38596765498652e-05
10	0	87265255	88132095	866841	8.49139044705082e-05
10	0	88696381	88704113	7733	8.49139044705082e-05
10	0	88865289	89324356	459068	8.49139044705082e-05
10	0	116169841	116346194	176354	8.49139044705082e-05
10	0	117381708	117552631	170924	8.49139044705082e-05
10	0	117918544	118072613	154070	8.49139044705082e-05
10	0	118104520	118270782	166263	8.49139044705082e-05
10	0	118357474	118718027	360554	8.49139044705082e-05
10	0	118771286	119019126	247841	8.49139044705082e-05
10	0	119101229	119109498	8270	8.49139044705082e-05
10	0	119561758	119564202	2445	8.49139044705082e-05
10	0	120031952	120032416	465	8.49139044705082e-05
10	0	120102807	120104327	1521	8.49139044705082e-05
10	0	120252606	120252855	250	8.49139044705082e-05
10	0	120292872	120293849	978	8.49139044705082e-05
10	0	120318629	120321525	2897	8.49139044705082e-05
10	0	120568512	120570510	1999	8.49139044705082e-05
10	0	120587265	120587712	448	8.49139044705082e-05
10	0	121407981	121408071	91	8.49139044705082e-05
10	0	121571507	121618988	47482	8.49139044705082e-05
10	0	121880158	121880267	110	8.49139044705082e-05
10	0	122215516	122217471	1956	8.49139044705082e-05
10	0	123604355	124845054	1240700	8.49139044705082e-05
10	0	124916984	124921879	4896	8.49139044705082e-05
10	0	124941951	125149558	207608	8.49139044705082e-05
10	0	126539224	126675365	136142	8.49139044705082e-05
10	0	126843661	126854297	10637	8.49139044705082e-05
10	0	126862606	126927382	64777	8.49139044705082e-05
10	0	126955199	127190275	235077	8.49139044705082e-05
10	0	127256423	127258646	2224	8.49139044705082e-05
10	0	127483573	127538159	54587	8.49139044705082e-05
10	0	128472459	128473047	589	8.49139044705082e-05
10	0	128525920	129012678	486759	8.49139044705082e-05
10	0	129016861	129049548	32688	8.49139044705082e-05
10	0	129066905	129585432	518528	8.49139044705082e-05
10	0	129594596	129888727	294132	8.49139044705082e-05
10	0	129894034	130145344	251311	8.49139044705082e-05
10	0	130221545	130262918	41374	8.49139044705082e-05
10	0	130262998	130634799	371802	8.49139044705082e-05
10	0	130678444	130678890	447	8.49139044705082e-05
