"","chr","start","end","extra1","extra2","GeneSymbol","Chr","Start","End"
"46447",1,27106855,27127935,2.2483e-05,4.64814573952125,"PIGV",1,27113963,27124889
"13376",1,149879545,189572371,2.2483e-05,4.64814573952125,"SF3B4",1,149895209,149900236
"14712",1,149879545,189572371,2.2483e-05,4.64814573952125,"MTMR11",1,149900543,149908791
"17147",1,149879545,189572371,2.2483e-05,4.64814573952125,"OTUD7B",1,149909705,149982625
"19074",1,149879545,189572371,2.2483e-05,4.64814573952125,"VPS45",1,150039369,150117505
"21530",1,149879545,189572371,2.2483e-05,4.64814573952125,"PLEKHO1",1,150121373,150136916
"22562",1,149879545,189572371,2.2483e-05,4.64814573952125,"RN7SL480P",1,150183930,150184221
"22967",1,149879545,189572371,2.2483e-05,4.64814573952125,"ANP32E",1,150190717,150208504
"22573",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU2-17P",1,150209315,150209504
"23872",1,149879545,189572371,2.2483e-05,4.64814573952125,"CA14",1,150229554,150237478
"24718",1,149879545,189572371,2.2483e-05,4.64814573952125,"APH1A",1,150237804,150241980
"26089",1,149879545,189572371,2.2483e-05,4.64814573952125,"C1orf54",1,150240600,150253327
"26632",1,149879545,189572371,2.2483e-05,4.64814573952125,"C1orf51",1,150254953,150259505
"26965",1,149879545,189572371,2.2483e-05,4.64814573952125,"MRPS21",1,150266289,150281414
"27400",1,149879545,189572371,2.2483e-05,4.64814573952125,"PRPF3",1,150293925,150325671
"28502",1,149879545,189572371,2.2483e-05,4.64814573952125,"RPRD2",1,150335567,150449042
"29354",1,149879545,189572371,2.2483e-05,4.64814573952125,"TARS2",1,150459887,150480078
"30358",1,149879545,189572371,2.2483e-05,4.64814573952125,"ECM1",1,150480538,150486265
"22602",1,149879545,189572371,2.2483e-05,4.64814573952125,"LINC00568",1,150488233,150490508
"31300",1,149879545,189572371,2.2483e-05,4.64814573952125,"ADAMTSL4",1,150521884,150533413
"22653",1,149879545,189572371,2.2483e-05,4.64814573952125,"MIR4257",1,150524405,150524490
"31962",1,149879545,189572371,2.2483e-05,4.64814573952125,"ADAMTSL4-AS1",1,150533480,150533969
"22661",1,149879545,189572371,2.2483e-05,4.64814573952125,"RN7SL473P",1,150539040,150539336
"22670",1,149879545,189572371,2.2483e-05,4.64814573952125,"RN7SL600P",1,150541449,150541745
"32047",1,149879545,189572371,2.2483e-05,4.64814573952125,"MCL1",1,150547032,150552066
"32439",1,149879545,189572371,2.2483e-05,4.64814573952125,"ENSA",1,150573327,150602088
"32889",1,149879545,189572371,2.2483e-05,4.64814573952125,"GOLPH3L",1,150618701,150669630
"33362",1,149879545,189572371,2.2483e-05,4.64814573952125,"HORMAD1",1,150670536,150693364
"22676",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-1042P",1,150674342,150674448
"34011",1,149879545,189572371,2.2483e-05,4.64814573952125,"CTSS",1,150702672,150738433
"34373",1,149879545,189572371,2.2483e-05,4.64814573952125,"CTSK",1,150768684,150780799
"22685",1,149879545,189572371,2.2483e-05,4.64814573952125,"UBE2D3P3",1,150772949,150773507
"35243",1,149879545,189572371,2.2483e-05,4.64814573952125,"ARNT",1,150782181,150849244
"22703",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-1309P",1,150785067,150785174
"22725",1,149879545,189572371,2.2483e-05,4.64814573952125,"CYCSP51",1,150876372,150876689
"36350",1,149879545,189572371,2.2483e-05,4.64814573952125,"SETDB1",1,150898739,150937213
"36914",1,149879545,189572371,2.2483e-05,4.64814573952125,"CERS2",1,150933059,150947479
"37272",1,149879545,189572371,2.2483e-05,4.64814573952125,"ANXA9",1,150954493,150968110
"37549",1,149879545,189572371,2.2483e-05,4.64814573952125,"FAM63A",1,150969025,150980851
"37995",1,149879545,189572371,2.2483e-05,4.64814573952125,"PRUNE",1,150980896,151008189
"22768",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-884P",1,150995222,150995328
"38304",1,149879545,189572371,2.2483e-05,4.64814573952125,"BNIPL",1,151009046,151020076
"38590",1,149879545,189572371,2.2483e-05,4.64814573952125,"C1orf56",1,151020216,151024462
"38673",1,149879545,189572371,2.2483e-05,4.64814573952125,"CDC42SE1",1,151023447,151042801
"38766",1,149879545,189572371,2.2483e-05,4.64814573952125,"MLLT11",1,151030234,151040970
"38853",1,149879545,189572371,2.2483e-05,4.64814573952125,"GABPB2",1,151043054,151098018
"39065",1,149879545,189572371,2.2483e-05,4.64814573952125,"SEMA6C",1,151104161,151119104
"39546",1,149879545,189572371,2.2483e-05,4.64814573952125,"TNFAIP8L2",1,151129105,151132225
"39606",1,149879545,189572371,2.2483e-05,4.64814573952125,"SCNM1",1,151129140,151142773
"39693",1,149879545,189572371,2.2483e-05,4.64814573952125,"LYSMD1",1,151132224,151138424
"39772",1,149879545,189572371,2.2483e-05,4.64814573952125,"TMOD4",1,151142462,151148760
"39926",1,149879545,189572371,2.2483e-05,4.64814573952125,"VPS72",1,151142463,151167797
"40173",1,149879545,189572371,2.2483e-05,4.64814573952125,"PIP5K1A",1,151170425,151222012
"40641",1,149879545,189572371,2.2483e-05,4.64814573952125,"PSMD4",1,151227179,151239955
"40962",1,149879545,189572371,2.2483e-05,4.64814573952125,"ZNF687",1,151254094,151264656
"41205",1,149879545,189572371,2.2483e-05,4.64814573952125,"PI4KB",1,151264273,151300191
"22809",1,149879545,189572371,2.2483e-05,4.64814573952125,"RN7SL444P",1,151273143,151273439
"41856",1,149879545,189572371,2.2483e-05,4.64814573952125,"RFX5",1,151313116,151319833
"42386",1,149879545,189572371,2.2483e-05,4.64814573952125,"SELENBP1",1,151336778,151345209
"42844",1,149879545,189572371,2.2483e-05,4.64814573952125,"PSMB4",1,151372010,151374420
"43599",1,149879545,189572371,2.2483e-05,4.64814573952125,"POGZ",1,151375200,151431941
"22855",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNY4P25",1,151411476,151411571
"44018",1,149879545,189572371,2.2483e-05,4.64814573952125,"CGN",1,151482986,151511168
"44224",1,149879545,189572371,2.2483e-05,4.64814573952125,"TUFT1",1,151512781,151556059
"22867",1,149879545,189572371,2.2483e-05,4.64814573952125,"MIR554",1,151518272,151518367
"44404",1,149879545,189572371,2.2483e-05,4.64814573952125,"SNX27",1,151584541,151671567
"22897",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-1062P",1,151601800,151601906
"44529",1,149879545,189572371,2.2483e-05,4.64814573952125,"CELF3",1,151674880,151689290
"44716",1,149879545,189572371,2.2483e-05,4.64814573952125,"RIIAD1",1,151682909,151702281
"22918",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-662P",1,151720073,151720176
"44779",1,149879545,189572371,2.2483e-05,4.64814573952125,"MRPL9",1,151732119,151736040
"44903",1,149879545,189572371,2.2483e-05,4.64814573952125,"OAZ3",1,151735445,151743808
"45240",1,149879545,189572371,2.2483e-05,4.64814573952125,"TDRKH",1,151742583,151763892
"45489",1,149879545,189572371,2.2483e-05,4.64814573952125,"LINGO4",1,151772740,151778630
"45560",1,149879545,189572371,2.2483e-05,4.64814573952125,"RORC",1,151778547,151804348
"45662",1,149879545,189572371,2.2483e-05,4.64814573952125,"C2CD4D",1,151810295,151813033
"45687",1,149879545,189572371,2.2483e-05,4.64814573952125,"THEM5",1,151819739,151826173
"45733",1,149879545,189572371,2.2483e-05,4.64814573952125,"THEM4",1,151846060,151882284
"23029",1,149879545,189572371,2.2483e-05,4.64814573952125,"KRT8P28",1,151921999,151923388
"45802",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A10",1,151955391,151966866
"23048",1,149879545,189572371,2.2483e-05,4.64814573952125,"NBPF18P",1,151967007,152015250
"45851",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A11",1,152004982,152020383
"23104",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPTLC1P4",1,152050428,152050687
"45893",1,149879545,189572371,2.2483e-05,4.64814573952125,"TCHHL1",1,152056620,152061540
"45914",1,149879545,189572371,2.2483e-05,4.64814573952125,"TCHH",1,152078793,152086556
"23126",1,149879545,189572371,2.2483e-05,4.64814573952125,"HDHD1P2",1,152096914,152097556
"45922",1,149879545,189572371,2.2483e-05,4.64814573952125,"RPTN",1,152126071,152131704
"23141",1,149879545,189572371,2.2483e-05,4.64814573952125,"FLG-AS1",1,152140601,152339163
